"Symbol klienta";"Symbol";"Oznaczenie producenta";"Producent";"Ilość";"Jednostka";"Cena netto";"Cena brutto";"Wartość netto";"Wartość brutto";"Waluta"
"";"B3FS-4055P";"B3FS-4055P";"OMRON Electronic Components";"1";"szt";"4.89";"6.01";"4.89";"6.01";"PLN"
"";"PEC16-4220F-S0024";"PEC16-4220F-S0024";"BOURNS";"1";"szt";"14.38";"17.69";"14.38";"17.69";"PLN"
"";"IRM-60-48";"IRM-60-48";"MEAN WELL";"1";"szt";"54.88";"67.5";"54.88";"67.5";"PLN"
"";"3413.0119.22";"3413.0119.22";"SCHURTER";"5";"szt";"1.744";"10.73";"8.72";"10.73";"PLN"
"";"KAF31GR72A225KU";"KAF31GR72A225KU";"KYOCERA AVX";"10";"szt";"0.8";"9.84";"8";"9.84";"PLN"
"";"ZSC00BM1011EARL";"ZSC00BM1011EARL";"VISHAY";"10";"szt";"0.643";"7.91";"6.43";"7.91";"PLN"
"";"B560C-13-F";"B560C-13-F";"DIODES INCORPORATED";"4";"szt";"1.775";"8.73";"7.1";"8.73";"PLN"
"";"DE1207-22";"DE1207-22";"FERROCORE";"5";"szt";"1.386";"8.53";"6.93";"8.53";"PLN"
"";"CRCW080515K4FKTABC";"CRCW080515K4FKTABC";"VISHAY";"100";"szt";"0.0106";"1.3";"1.06";"1.3";"PLN"
"";"CRCW0805316KFKTABC";"CRCW0805316KFKTABC";"VISHAY";"100";"szt";"0.1067";"13.12";"10.67";"13.12";"PLN"
"";"SMD0805-36.5K-1%";"0805S8F3652T5E";"ROYALOHM";"100";"szt";"0.0692";"8.51";"6.92";"8.51";"PLN"
"";"ERA6AEB1152V";"ERA6AEB1152V";"PANASONIC";"10";"szt";"0.215";"2.64";"2.15";"2.64";"PLN"
"";"TPS54560DDA";"TPS54560DDA";"TEXAS INSTRUMENTS";"1";"szt";"25.75";"31.67";"25.75";"31.67";"PLN"
"";"0805B822K500CT";"0805B822K500CT";"WALSIN";"10";"szt";"0.166";"2.04";"1.66";"2.04";"PLN"
"";"LM3409HVMY/NOPB";"LM3409HVMY/NOPB";"TEXAS INSTRUMENTS";"2";"szt";"9.28";"22.83";"18.56";"22.83";"PLN"
"";"DMP10H400SK3-13";"DMP10H400SK3-13";"DIODES INCORPORATED";"3";"szt";"1.9167";"7.07";"5.75";"7.07";"PLN"
"";"DE1207-47";"DE1207-47";"FERROCORE";"5";"szt";"1.334";"8.21";"6.67";"8.21";"PLN"
"";"ERA6AEB6811V";"ERA6AEB6811V";"PANASONIC";"10";"szt";"0.212";"2.61";"2.12";"2.61";"PLN"
"";"AR0805-24K9-0.1%";"AR05BTCW2492";"Viking";"10";"szt";"0.433";"5.32";"4.33";"5.32";"PLN"
"";"SMD0805-49K9-1%";"0805S8F4992T5E";"ROYALOHM";"100";"szt";"0.0612";"7.53";"6.12";"7.53";"PLN"
"";"CS2512-0R3-1%-HP";"CS12FTFSR300";"Viking";"10";"szt";"1.152";"14.17";"11.52";"14.17";"PLN"
"";"C0805C471K5RAC";"C0805C471K5RACTU";"KEMET";"100";"szt";"0.0629";"7.74";"6.29";"7.74";"PLN"
"";"C0805C471K5RAC";"C0805C471K5RACTU";"KEMET";"100";"szt";"0.0629";"7.74";"6.29";"7.74";"PLN"
"";"VS-30BQ100-M3/9AT";"VS-30BQ100-M3/9AT";"VISHAY";"10";"szt";"1.361";"16.74";"13.61";"16.74";"PLN"
"";"PK2B-3LLE-GNVM";"PK2B-3LLE-GNVM";"ProLight Opto";"11";"szt";"6.04";"81.72";"66.44";"81.72";"PLN"
"";"PK2B-3LLE-GNV";"PK2B-3LLE-GNV";"ProLight Opto";"11";"szt";"6.04";"81.72";"66.44";"81.72";"PLN"